"property_id","address","street_name","city","rstate","latitude","longitude","postcode","price","zestimate","bedroom_number","bathroom_number","price_per_unit","living_space","land_space","property_type","property_status","agency_name","zillow_owned","RunDate"
"90136957","42 Beach St #3D, Boston, MA 02111","Beach St #3D","Boston","MA","42.351604","-71.060936","02111",625000.00,614500.00,1.00,2.00,707,884.00,884.0000,"CONDO","FOR_SALE","Elevate Real Estate",0,"2022-03-13 07:34:20"
"2068571298","457 W Broadway #505, Boston, MA 02127","W Broadway #505","Boston","MA","42.33576","-71.046394","02127",890000.00,"",2.00,1.00,1194,745.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2068421839","457 W Broadway #501, Boston, MA 02127","W Broadway #501","Boston","MA","42.33576","-71.046394","02127",1100000.00,1099900.00,2.00,2.00,1136,968.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2068421842","457 W Broadway #407, Boston, MA 02127","W Broadway #407","Boston","MA","42.33576","-71.046394","02127",995000.00,"",2.00,2.00,1072,928.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2068421841","457 W Broadway #411, Boston, MA 02127","W Broadway #411","Boston","MA","42.33576","-71.046394","02127",779000.00,779000.00,1.00,1.00,1101,707.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2070785559","457 W Broadway #202, Boston, MA 02127","W Broadway #202","Boston","MA","42.33576","-71.046394","02127",975000.00,"",2.00,2.00,949,1027.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2067675815","457 W Broadway #301, Boston, MA 02127","W Broadway #301","Boston","MA","42.33576","-71.046394","02127",975000.00,975000.00,2.00,2.00,1007,968.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2067675820","457 W Broadway #210, Boston, MA 02127","W Broadway #210","Boston","MA","42.33576","-71.046394","02127",740000.00,"",2.00,1.00,993,745.00,"","CONDO","PENDING","",0,"2022-03-13 07:34:20"
"102987459","400 Stuart St #17B, Boston, MA 02116","Stuart St #17B","Boston","MA","42.3488","-71.07428","02116",2095000.00,2052600.00,2.00,2.00,1704,1229.00,"","CONDO","FOR_SALE","Engel & Volkers Boston",0,"2022-03-13 07:34:20"
"189950691","86 Chestnut St, Boston, MA 02108","Chestnut St","Boston","MA","42.356728","-71.070404","02108",6480000.00,6180900.00,4.00,5.00,1796,3607.00,1458.0000,"SINGLE_FAMILY","FOR_SALE","MGS Group Real Estate LTD",0,"2022-03-13 07:34:20"
"59101810","55 1/2 Bakersfield St #2, Boston, MA 02125","1/2 Bakersfield St #2","Boston","MA","42.316254","-71.06168","02125",579000.00,545500.00,3.00,2.00,440,1314.00,"","CONDO","PENDING","",0,"2022-03-13 07:34:20"
"2107626553","63 Mount Vernon St, Boston, MA 02108","Mount Vernon St","Boston","MA","42.35859","-71.06633","02108",16990000.00,"",3.00,5.00,3580,4745.00,"","CONDO","FOR_SALE","Douglas Elliman Real Estate",0,"2022-03-13 07:34:20"
"2067677060","25 Savoy St #PS-119/120, Boston, MA 02118","Savoy St #PS-119/120","Boston","MA","42.341682","-71.067406","02118",165000.00,"",0.00,0.00,"",0.00,"","CONDO","FOR_SALE","Gibson Sotheby's International Realty",0,"2022-03-13 07:34:20"
